"long" "lat"
"424" -60.955894470215 -18.1097078183936
"425" -61.955894470215 -17.1097078186202
"426" -60.955894470215 -17.1097078186202
"427" -61.955894470215 -16.1097078189213
"428" -60.955894470215 -16.1097078189213
"429" -64.955894470215 -18.1097078183936
"430" -63.955894470215 -18.1097078183936
"431" -64.955894470215 -17.1097078186202
"432" -63.955894470215 -17.1097078186202
"433" -62.955894470215 -17.1097078186202
"434" -64.955894470215 -16.1097078189213
"435" -63.955894470215 -16.1097078189213
"436" -62.955894470215 -16.1097078189213
"437" -64.955894470215 -15.1097078192973
"438" -63.955894470215 -15.1097078192973
"439" -67.955894470215 -17.1097078186202
"440" -66.955894470215 -17.1097078186202
"441" -65.955894470215 -17.1097078186202
"442" -67.955894470215 -16.1097078189213
"443" -66.955894470215 -16.1097078189213
"444" -65.955894470215 -16.1097078189213
"445" -67.955894470215 -15.1097078192973
"446" -66.955894470215 -15.1097078192973
"447" -65.955894470215 -15.1097078192973
"448" -67.955894470215 -14.109707819748
"449" -60.0814294056032 -16.2780184842781
"450" -61.955894470215 -15.1097078192973
"451" -60.9587287436782 -15.1094501673714
"453" -61.955894470215 -14.109707819748
"454" -60.9753201442779 -14.1333997835626
"457" -62.955894470215 -15.1097078192973
"458" -64.955894470215 -14.109707819748
"459" -63.955894470215 -14.109707819748
"460" -62.955894470215 -14.109707819748
"461" -63.955894470215 -13.1097078202725
"462" -63.012818418174 -13.2119582415425
"466" -66.955894470215 -14.109707819748
"467" -65.955894470215 -14.109707819748
"468" -66.955894470215 -13.1097078202725
"469" -65.955894470215 -13.1097078202725
"470" -64.955894470215 -13.1097078202725
"471" -66.955894470215 -12.1097078208691
"472" -65.955894470215 -12.1097078208691
"473" -65.0544198681816 -12.2223564537027
"474" -66.955894470215 -11.1097078215356
"475" -65.955894470215 -11.1097078215356
"477" -66.8429296484352 -10.3417851025158
"478" -65.9465521516969 -10.203346999583
"481" -45.0191620074356 -23.0245329195042
"482" -43.9495258650033 -22.8072139430558
"484" -42.0020273807929 -22.0559866638127
"486" -42.9580251037684 -22.791374503872
"487" -44.955894470215 -22.109707818201
"488" -43.955894470215 -22.109707818201
"489" -42.955894470215 -22.109707818201
"490" -43.955894470215 -21.1097078181466
"491" -42.955894470215 -21.1097078181466
"492" -41.955894470215 -21.1097078181466
"493" -43.955894470215 -20.1097078181588
"494" -42.955894470215 -20.1097078181588
"495" -41.955894470215 -20.1097078181588
"497" -69.9847335339812 -10.8001916468885
"498" -68.9163142152991 -10.8177791382132
"500" -69.955894470215 -10.1097078222691
"501" -68.955894470215 -10.1097078222691
"504" -71.2150273298662 -9.76278943542112
"505" -72.7703990537719 -9.00906029065325
"506" -71.9477925980175 -9.10148492905039
"507" -67.9639017915146 -10.1012286545568
"508" -69.955894470215 -9.10970782306581
"509" -68.955894470215 -9.10970782306582
"510" -67.955894470215 -9.10970782306581
"511" -66.955894470215 -9.10970782306581
"512" -68.955894470215 -8.10970782392162
"513" -67.955894470215 -8.10970782392162
"514" -66.955894470215 -8.10970782392161
"515" -68.955894470215 -7.10970782483165
"516" -67.955894470215 -7.10970782483164
"519" -70.9639087767309 -9.09969884570231
"520" -72.9467701555272 -8.10147226732439
"521" -71.955894470215 -8.10970782392162
"522" -70.955894470215 -8.10970782392161
"523" -69.955894470215 -8.10970782392162
"524" -72.9543971049285 -7.11115559088226
"525" -71.955894470215 -7.10970782483165
"526" -70.955894470215 -7.10970782483164
"527" -69.955894470215 -7.10970782483165
"528" -72.8062042807106 -6.13089132717043
"533" -52.9982165146641 -33.0692193920217
"539" -54.89915118706 -30.9887689038459
"540" -56.8776488492695 -29.9507663638331
"541" -55.9452272968824 -30.0988806573051
"542" -54.955894470215 -30.1097078205548
"543" -55.9199063836016 -29.1437959341415
"544" -53.7865062242553 -31.8898816886937
"545" -52.9528815683658 -32.1067631772834
"546" -52.3148541694859 -32.0104457604383
"547" -53.955894470215 -31.1097078210178
"548" -52.955894470215 -31.1097078210178
"549" -52.0255745667513 -31.034184784052
"550" -53.955894470215 -30.1097078205548
"551" -52.955894470215 -30.1097078205548
"552" -51.955894470215 -30.1097078205548
"553" -50.9559350878837 -30.0266585628428
"557" -50.0119640012414 -29.0595354287428
"559" -54.955894470215 -29.1097078201175
"560" -53.955894470215 -29.1097078201175
"562" -54.9053008998977 -28.1731375845171
"563" -53.955894470215 -28.109707819711
"565" -53.7927797259519 -27.2594000622725
"566" -52.955894470215 -27.1097078193406
"569" -52.955894470215 -29.1097078201175
"570" -51.955894470215 -29.1097078201175
"571" -50.955894470215 -29.1097078201175
"572" -52.955894470215 -28.109707819711
"573" -51.955894470215 -28.109707819711
"574" -50.955894470215 -28.109707819711
"575" -51.955894470215 -27.1097078193406
"576" -50.955894470215 -27.1097078193406
"577" -49.955894470215 -27.1097078193406
"578" -51.955894470215 -26.1097078190113
"579" -49.955894470215 -28.109707819711
"580" -49.059329098711 -28.0896326115238
"582" -49.0315687397178 -27.1182909462121
"584" -49.0134441559452 -26.0924398963774
"586" -50.955894470215 -26.1097078190113
"587" -49.955894470215 -26.1097078190113
"588" -50.955894470215 -25.1097078187281
"589" -49.955894470215 -25.1097078187281
"590" -48.9620461503149 -25.1033753969532
"591" -50.955894470215 -24.1097078184957
"592" -49.955894470215 -24.1097078184957
"593" -48.955894470215 -24.1097078184957
"594" -50.955894470215 -23.1097078183186
"595" -49.955894470215 -23.1097078183186
"596" -52.955894470215 -26.1097078190113
"597" -53.9398166491331 -25.1128034594936
"598" -52.955894470215 -25.1097078187281
"599" -51.955894470215 -25.1097078187281
"600" -53.9109002468015 -24.0916694957293
"601" -52.955894470215 -24.1097078184957
"602" -51.955894470215 -24.1097078184957
"603" -52.955894470215 -23.1097078183186
"604" -51.955894470215 -23.1097078183186
"605" -52.955894470215 -22.109707818201
"609" -54.9926752282077 -23.7724632139069
"611" -54.955894470215 -23.1097078183186
"612" -53.955894470215 -23.1097078183186
"613" -55.8962828782319 -22.0015864868913
"614" -54.955894470215 -22.109707818201
"615" -53.955894470215 -22.109707818201
"616" -56.9611012615023 -21.9184167582047
"617" -57.6781750397325 -21.1104249822652
"618" -56.955894470215 -21.1097078181466
"619" -55.955894470215 -21.1097078181466
"620" -57.7561255191323 -20.106390193587
"621" -56.955894470215 -20.1097078181588
"622" -55.955894470215 -20.1097078181588
"623" -56.955894470215 -19.1097078182403
"624" -55.955894470215 -19.1097078182403
"625" -56.955894470215 -18.1097078183936
"626" -54.955894470215 -21.1097078181466
"627" -53.955894470215 -21.1097078181466
"628" -54.955894470215 -20.1097078181588
"629" -53.955894470215 -20.1097078181588
"630" -52.955894470215 -20.1097078181588
"631" -54.955894470215 -19.1097078182403
