"" "" "DR"
"195" -62.955894470215 -31.1097078210178 0.445014876234824
"196" -61.955894470215 -31.1097078210178 0.472851601641866
"197" -60.955894470215 -31.1097078210178 0.402414602322981
"198" -61.955894470215 -30.1097078205548 0.435586250239705
"199" -60.955894470215 -30.1097078205548 0.402414602322981
"200" -59.955894470215 -30.1097078205548 0.388280145245184
"201" -61.955894470215 -29.1097078201175 0.467084014440134
"202" -60.955894470215 -32.1097078215013 0.429617525251015
"203" -59.955894470215 -32.1097078215013 0.410315895672489
"204" -58.955894470215 -32.1097078215013 0.387157274792656
"205" -59.955894470215 -31.1097078210178 0.388280145245184
"206" -58.955894470215 -31.1097078210178 0.406729656144611
"207" -58.1767649614031 -31.0698586018797 0.396954441085963
"208" -58.955894470215 -30.1097078205548 0.389931069212285
"209" -58.0049118526815 -30.0633112628519 0.412173185135479
"210" -58.955894470215 -29.1097078201175 0.389931069212285
"211" -57.955894470215 -29.1097078201174 0.401432930479733
"212" -63.955894470215 -29.1097078201175 0.460426318583281
"213" -62.955894470215 -29.1097078201175 0.506674267003227
"214" -63.955894470215 -28.109707819711 0.505731310884331
"215" -62.955894470215 -28.109707819711 0.505731310884331
"216" -61.955894470215 -28.109707819711 0.467084014440134
"217" -63.955894470215 -27.1097078193406 0.569936975803783
"218" -62.955894470215 -27.1097078193406 0.538265137611725
"219" -61.955894470215 -27.1097078193406 0.474444146456955
"220" -62.955894470215 -26.1097078190113 0.511937004261272
"221" -61.955894470215 -26.1097078190113 0.48394188837273
"222" -60.955894470215 -29.1097078201175 0.422652153226356
"223" -59.955894470215 -29.1097078201175 0.377251583112713
"224" -60.955894470215 -28.109707819711 0.467084014440134
"225" -59.955894470215 -28.109707819711 0.437850529917739
"226" -58.955894470215 -28.109707819711 0.399309710941272
"227" -60.955894470215 -27.1097078193406 0.486877681440485
"228" -59.955894470215 -27.1097078193406 0.437850529917739
"229" -58.9736289810701 -27.107788316378 0.427464673220748
"230" -59.955894470215 -26.1097078190113 0.440025033782228
"231" -58.955894470215 -26.1097078190113 0.424071190544885
"232" -57.0125981152826 -29.0578985606189 0.42248168477451
"233" -57.955894470215 -28.109707819711 0.408113041853396
"234" -56.955894470215 -28.109707819711 0.399245303985625
"235" -58.0046909834325 -27.4542069176354 0.388996743589728
"236" -58.2904318171058 -32.0741127026748 0.401486971721423
"237" -56.017545468393 -28.0444596131484 0.370279121633165
"238" -54.916469761486 -27.1627404095562 0.414879352457292
"239" -54.1256572335414 -26.953061815998 0.414879352457292
"240" -54.0942007842571 -26.1435559261649 0.405871924485228
"241" -68.955894470215 -32.1097078215013 0.566657191312944
"242" -67.955894470215 -32.1097078215013 0.525419667381462
"243" -69.9142043035479 -31.1370452004938 0.421350358871154
"244" -68.955894470215 -31.1097078210178 0.566657191312944
"245" -67.955894470215 -31.1097078210178 0.546287323774247
"246" -66.955894470215 -31.1097078210178 0.53202379775248
"247" -68.955894470215 -30.1097078205548 0.509798005133452
"248" -67.955894470215 -30.1097078205548 0.584614866628771
"249" -66.955894470215 -30.1097078205548 0.497422112955245
"250" -67.955894470215 -29.1097078201175 0.532618369307238
"251" -69.7195662633342 -30.155296537357 0.332116709244312
"252" -69.6698357160277 -29.1923813110874 0.341275049108664
"253" -68.955894470215 -29.1097078201175 0.282224430428504
"254" -68.8865923817467 -28.1645164682936 0.282224430428504
"255" -66.955894470215 -29.1097078201175 0.493732326932174
"256" -65.955894470215 -29.1097078201175 0.477137111306051
"257" -67.955894470215 -28.109707819711 0.448654697253906
"258" -66.955894470215 -28.109707819711 0.45403704367935
"259" -65.955894470215 -28.109707819711 0.44553354627926
"260" -64.955894470215 -28.109707819711 0.446465216499527
"261" -66.955894470215 -27.1097078193406 0.461361719097162
"262" -65.955894470215 -27.1097078193406 0.424346285331359
"263" -64.955894470215 -27.1097078193406 0.458779313226109
"264" -65.955894470215 -26.1097078190113 0.432955212473176
"265" -67.938186018417 -27.1172821700539 0.448654697253906
"266" -67.949411518784 -26.1098885705222 0.430935018593842
"267" -66.955894470215 -26.1097078190113 0.461361719097162
"268" -67.9503579400757 -25.1104380586167 0.255757971341599
"269" -66.955894470215 -25.1097078187281 0.41823411212761
"270" -64.955894470215 -26.1097078190113 0.448152157385645
"271" -63.955894470215 -26.1097078190113 0.489565429120498
"272" -65.955894470215 -25.1097078187281 0.423736174156354
"273" -64.955894470215 -25.1097078187281 0.479680640743244
"274" -63.955894470215 -25.1097078187281 0.48711415297257
"275" -64.955894470215 -24.1097078184957 0.521198873891508
"276" -63.955894470215 -24.1097078184957 0.517950386229026
"277" -62.955894470215 -24.1097078184957 0.48394188837273
"278" -64.955894470215 -23.1097078183186 0.474806169648524
"279" -63.9460826116152 -23.1205138796876 0.484175110995739
"280" -67.8384464003594 -24.4230739241582 0.256342956971004
"281" -66.9171864698678 -24.1390524446101 0.401691198829842
"282" -65.955894470215 -24.1097078184957 0.465803078072551
"283" -66.774263165754 -23.1187557084654 0.297828311747764
"284" -65.955894470215 -23.1097078183186 0.407775828630477
"285" -65.9724610858235 -22.2956419536647 0.391383163297951
"286" -65.0101869751807 -22.371677566695 0.471377698178574
"287" -62.955894470215 -23.1097078183186 0.503466144965737
"288" -63.7785814653422 -22.3328292421155 0.469805928731109
"289" -63.020065430893 -22.3355772990857 0.505290077662008
"290" -60.955894470215 -26.1097078190113 0.453725472089842
"291" -62.955894470215 -25.1097078187281 0.48394188837273
"292" -61.955894470215 -25.1097078187281 0.48394188837273
"293" -60.955894470215 -25.1097078187281 0.48394188837273
"294" -61.955894470215 -24.1097078184957 0.48394188837273
"295" -61.000497866998 -24.1801105551486 0.48394188837273
"296" -60.0138616264477 -24.3528984088894 0.453725472089842
"297" -62.0838758823944 -23.2335003344126 0.48394188837273
"298" -58.1904203361309 -25.9984505328409 0.401712964574762
"299" -59.955894470215 -25.1097078187281 0.468856192233153
"300" -58.9841818922947 -25.1525945652025 0.415292485060846
"301" -58.0791882829597 -25.3277695563573 0.39484101158802
"302" -68.8344761324884 -16.0410470235576 0.36455145023611
"303" -68.8756193729286 -15.1119923849423 0.378914646986059
"304" -68.7329400699063 -14.1264056735867 0.3744967805984
"305" -68.6950712342946 -13.1376206779912 0.340800808732826
"306" -67.955894470215 -13.1097078202725 0.300972417729954
"307" -68.6932647085697 -12.0148736957799 0.293076485922466
"308" -67.955894470215 -12.1097078208691 0.310001570653504
"309" -68.9299585945921 -11.2897234579873 0.296384107414492
"310" -67.9104765492537 -11.1672533929146 0.302431593005107
"311" -67.0124654593244 -22.0479355563337 0.30327440445359
"312" -65.9271918000277 -21.8252035144574 0.379932421162999
"313" -64.9097306285014 -21.8949847677321 0.4793888480982
"314" -67.7264835296429 -22.0646739117249 0.303577940855917
"315" -67.8889179456548 -21.070853074732 0.303577940855917
"316" -64.0631395370515 -21.9677564489788 0.49428357671029
"317" -62.9558582117416 -21.8300320823764 0.498913538160432
"318" -63.955894470215 -21.1097078181466 0.48478676773217
"319" -62.955894470215 -21.1097078181466 0.498913538160432
"320" -63.955894470215 -20.1097078181588 0.474625872684359
"321" -62.955894470215 -20.1097078181588 0.46765053762785
"322" -62.1841486365957 -20.0096368873736 0.426062573291938
"323" -59.964821927869 -18.971747677075 0.362540932076792
"324" -58.9206966631348 -19.0336783977086 0.368568618171967
"325" -58.134722632811 -19.0571774747272 0.34990467382572
"326" -59.955894470215 -18.1097078183936 0.374245008725407
"327" -58.955894470215 -18.1097078183936 0.374245008725407
"328" -58.0437927061367 -18.1248030256334 0.354601026397275
"329" -59.955894470215 -17.1097078186202 0.311127412153429
"330" -58.9569256864954 -17.1105775576011 0.349751439038177
"331" -58.9668944784621 -16.4551426355803 0.308843917968496
"332" -66.955894470215 -21.1097078181466 0.28924362027494
"333" -65.955894470215 -21.1097078181466 0.400940088336522
"334" -64.955894470215 -21.1097078181466 0.471286365978359
"335" -66.955894470215 -20.1097078181588 0.328075757415516
"336" -65.955894470215 -20.1097078181588 0.377999521605732
"337" -64.955894470215 -20.1097078181588 0.427974709732767
"338" -65.955894470215 -19.1097078182403 0.392453268560638
"339" -64.955894470215 -19.1097078182403 0.441708566313766
"340" -63.955894470215 -19.1097078182403 0.426578102480226
"341" -65.955894470215 -18.1097078183936 0.415014651174715
"342" -67.955894470215 -20.1097078181588 0.254403896686867
"343" -67.9540379023805 -19.1087765746065 0.379780439832693
"344" -66.955894470215 -19.1097078182403 0.368080625095506
"345" -68.8249102478227 -18.0560782233373 0.420501028176618
"346" -67.955894470215 -18.1097078183936 0.37585283606485
"347" -66.955894470215 -18.1097078183936 0.412028805890218
"348" -68.9109534311959 -17.1517589453868 0.409272811796628
"349" -62.955894470215 -19.1097078182403 0.388362674496087
"350" -61.9562160096423 -19.1093638017503 0.386586044205157
"351" -60.9710604018353 -19.0619742412875 0.359582457618981
"352" -62.955894470215 -18.1097078183936 0.396082827992137
"353" -61.955894470215 -18.1097078183936 0.399893128328996
"354" -60.955894470215 -18.1097078183936 0.371911220138368
"355" -61.955894470215 -17.1097078186202 0.356654632720605
"356" -60.955894470215 -17.1097078186202 0.311127412153429
"357" -61.955894470215 -16.1097078189213 0.336257169318395
"358" -60.955894470215 -16.1097078189213 0.317813342733245
